ledger_id,scientific_question,evaluation_boundary,split_standard,split_name_or_protocol,target_scale_and_tasks,model_or_cell,stage_protocol,source_weighting,seed_and_aggregation,n_test,pooled_r2,rmse,mae,status,manuscript_role,artifact_or_next_action
MAIN-M10-R8-2,Current M10 interpolation performance,v1.2.40 X0_molar locked parent boundary,row-random 8:2; fixed outer test; not chemical extrapolation,M_v1_2_44_M10_仅水相预训练_固定评价边界,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30; Stage2 0; Stage3 full 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.7154353368,0.7551770292,0.5457618347,locked complete,Main-text M10 interpolation reference,outputs/experiments/第二层核心因果实验矩阵_v1_2_44/统一汇总_中文/03_四种子逐行集成主指标.csv
LEGACY-B2-FULL-R8-2,Historical input contrast only,v1.2.44 fixed random outer boundary,row-random 8:2; same test identities as MAIN-M10-R8-2,M_v1_2_44_M11_三阶段_固定评价边界,neg_log10_mol_kg; 18 task heads,M11U-Full,Stage1 aquatic 30; Stage2 soil pTox 20; Stage3 full 30,tanimoto_to_finetune,"42,2042,3407,8417; prediction-level ensemble",3042,0.7152766338,0.7553875827,0.5446517392,complete but not M10-comparable,Historical/supplement only; do not support M10 input claim,outputs/experiments/第二层核心因果实验矩阵_v1_2_44/统一汇总_中文/03_四种子逐行集成主指标.csv
LEGACY-B2-CONTEXT-R8-2,Historical input contrast only,v1.2.44 fixed random outer boundary,row-random 8:2; same test identities as MAIN-M10-R8-2,M_v1_2_44_M11_三阶段_固定评价边界,neg_log10_mol_kg; 18 task heads,Context-only,Stage1 aquatic 30; Stage2 soil pTox 20; Stage3 full 30,tanimoto_to_finetune,"42,2042,3407,8417; prediction-level ensemble",3042,0.3734907125,1.1205262717,0.8354469903,complete but not M10-comparable,Historical/supplement only; molecular information also enters source weighting,outputs/experiments/第二层核心因果实验矩阵_v1_2_44/统一汇总_中文/03_四种子逐行集成主指标.csv
LEGACY-B2-MOLECULE-R8-2,Historical input contrast only,v1.2.44 fixed random outer boundary,row-random 8:2; same test identities as MAIN-M10-R8-2,M_v1_2_44_M11_三阶段_固定评价边界,neg_log10_mol_kg; 18 task heads,Molecule-only,Stage1 aquatic 30; Stage2 soil pTox 20; Stage3 full 30,tanimoto_to_finetune,"42,2042,3407,8417; prediction-level ensemble",3042,0.5458836496,0.9539856810,0.6803728896,complete but not M10-comparable,Historical/supplement only; not an M10 ablation,outputs/experiments/第二层核心因果实验矩阵_v1_2_44/统一汇总_中文/03_四种子逐行集成主指标.csv
M10-ABLATION-FULL-R8-2,M10 input complementarity,v1.2.44 M10 fixed parent boundary,row-random 8:2; fixed outer test,M_v1_2_44_M10_仅水相预训练_固定评价边界,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30; Stage2 0; Stage3 full 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.7154353368,0.7551770292,0.5457618347,reference locked,Full reference reused only after manifest-contract check,MAIN-M10-R8-2
M10-R8-2-SEED3407-STABILITY-REFERENCE,Seed-matched reference for random-fivefold stability,v1.2.44 M10 fixed parent boundary,row-random 8:2; fixed outer test,M_v1_2_44_M10_仅水相预训练_固定评价边界,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30; Stage2 0; Stage3 full 30,none,"fixed seed 3407; single model",3042,0.6894936722,0.7888483368,0.5743526353,completed,Fair seed-matched comparison for v1.2.51; not the main ensemble score,outputs/experiments/v1_2_50_m10_random_ablation/summary/m10_random8_2_single_seed_metrics.csv
M10-ABLATION-CONTEXT-R8-2,M10 input complementarity,v1.2.44 M10 fixed parent boundary,row-random 8:2; fixed outer test,M_v1_2_44_M10_仅水相预训练_固定评价边界,neg_log10_mol_kg; 18 task heads,M10-Context-only,Stage1 aquatic 30; Stage2 0; Stage3 full 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.3745996693,1.1195341351,0.8343586927,completed,Primary input-complementarity evidence,outputs/experiments/v1_2_50_m10_random_ablation/summary/m10_random8_2_four_seed_prediction_ensemble.csv
M10-ABLATION-MOLECULE-R8-2,M10 input complementarity,v1.2.44 M10 fixed parent boundary,row-random 8:2; fixed outer test,M_v1_2_44_M10_仅水相预训练_固定评价边界,neg_log10_mol_kg; 18 task heads,M10-Molecule-only,Stage1 aquatic 30; Stage2 0; Stage3 full 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.5442098623,0.9557421697,0.6807867945,completed,Primary input-complementarity evidence,outputs/experiments/v1_2_50_m10_random_ablation/summary/m10_random8_2_four_seed_prediction_ensemble.csv
M10-ABLATION-DESC-CONTEXT-R8-2,M10 input complementarity,v1.2.44 M10 fixed parent boundary,row-random 8:2; fixed outer test,M_v1_2_44_M10_仅水相预训练_固定评价边界,neg_log10_mol_kg; 18 task heads,M10-Descriptor+Context,Stage1 aquatic 30; Stage2 0; Stage3 full 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.5457609694,0.9541145326,0.7029886428,completed,Primary input-complementarity evidence,outputs/experiments/v1_2_50_m10_random_ablation/summary/m10_random8_2_four_seed_prediction_ensemble.csv
M10-ABLATION-FP-CONTEXT-R8-2,M10 input complementarity,v1.2.44 M10 fixed parent boundary,row-random 8:2; fixed outer test,M_v1_2_44_M10_仅水相预训练_固定评价边界,neg_log10_mol_kg; 18 task heads,M10-Fingerprint+Context,Stage1 aquatic 30; Stage2 0; Stage3 full 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.7140878895,0.7569628439,0.5489828329,completed,Primary input-complementarity evidence,outputs/experiments/v1_2_50_m10_random_ablation/summary/m10_random8_2_four_seed_prediction_ensemble.csv
M10-R5F-RANDOM-STABILITY,M10 robustness across random resampling,v1.2.44 M10 target pool rebuilt as task-stratified random fivefold,row-random fivefold OOF; no structure grouping,M_v1_2_51_M10_随机五折_折1-5,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30 per fold; Stage2 0; Stage3 full 30,none,"fixed seed 3407; OOF concatenation",15199,0.6675987882,0.8085989429,0.5854741679,completed,Robustness/supporting validation; not input-ablation matrix,outputs/experiments/v1_2_51_m10_random_fivefold/summary/m10_random_fivefold_oof_pooled_metrics.csv
M10-R5F-REMAINING-SEEDS,M10 random-fivefold seed expansion,exact v1.2.51 fivefold assignments reused without mutation,row-random fivefold OOF; no structure grouping,M_v1_2_51_M10_随机五折_折1-5,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30 per fold; Stage2 0; Stage3 full 30,none,"seeds 42,2042,8417; each seed OOF concatenation",15199,,,,completed,Seed expansion for four-seed robustness and ensemble; four-seed single-model pooled mean R2/RMSE/MAE=0.669906/0.805715/0.582087,outputs/experiments/v1_2_52_m10_random_fivefold_remaining_seeds/summary_four_seed
M10-R5F-4SEED-ENSEMBLE,M10 random-fivefold prediction ensemble,exact v1.2.51 fivefold assignments reused across all four seeds,row-random fivefold OOF; no structure grouping,M_v1_2_51_M10_随机五折_折1-5,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30 per fold; Stage2 0; Stage3 full 30,none,"42,2042,3407,8417; per-row prediction ensemble then OOF concatenation",15199,0.6902032726578411,0.7806210943197873,0.5619498669832292,completed,Four-seed random-fivefold robustness result,outputs/experiments/v1_2_52_m10_random_fivefold_remaining_seeds/summary_four_seed/summary.json
M10-STRUCT-0p65-DIAGNOSTIC,M10 input behavior under chemical extrapolation,v1.2.49 structure-component branch,Morgan/scaffold component OOF at threshold 0.65; unequal test-fold sizes,M_v1_2_49_T0p65_F1-F5_M10,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30; Stage2 0; Stage3 full 30,none,fixed seed 3407; OOF concatenation,11267,0.1974,1.2402,0.9707,complete diagnostic,Supplementary chemical-extrapolation diagnostic only; not M10 mainline ablation,outputs/experiments/v1_2_49_scaffold_threshold_fivefold
STRUCT-0p80-0p50-SPLIT-ONLY,Unused scaffold threshold branch,v1.2.49 structure-component branch,Morgan/scaffold component OOF at threshold 0.80 or 0.50,assignment-only; no formal model run,neg_log10_mol_kg; 18 task heads,none,not applicable,not applicable,0,,,,suspended before training,No manuscript claim until separately reauthorized,outputs/audits/v1_2_49_scaffold_threshold_fivefold/split_summary_0p80_0p50.json
M10-LC-F10,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,"task-stratified nested 10% subsample of locked Stage3 train and valid; fixed test; no scaffold/reference grouping",M_v1_2_54_M10_LC_F10,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30; Stage2 0; Stage3 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.34624867641378854,1.1446285581862852,0.8771322857640997,completed,Paired low-data transfer evidence,outputs/experiments/v1_2_54_m10_m00_target_data_learning_curve/summary
M00-LC-F10,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,"same exact 10% Stage3 train/valid identities as M10; fixed test; no scaffold/reference grouping",M_v1_2_54_M00_LC_F10,neg_log10_mol_kg; 18 task heads,M00-Full,Stage1 0; Stage2 0; Stage3 30 from random initialization,none,"42,2042,3407,8417; seed-paired prediction-level ensemble",3042,0.315554313755789,1.171191149957371,0.8974091513078782,completed,Matched no-aquatic-pretraining control,outputs/experiments/v1_2_54_m10_m00_target_data_learning_curve/summary
M10-LC-F25,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,"task-stratified nested 25% subsample of locked Stage3 train and valid; fixed test; no scaffold/reference grouping",M_v1_2_54_M10_LC_F25,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30; Stage2 0; Stage3 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.4825104694461978,1.0183781452209606,0.7600077705841575,completed,Paired low-data transfer evidence,outputs/experiments/v1_2_54_m10_m00_target_data_learning_curve/summary
M00-LC-F25,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,"same exact 25% Stage3 train/valid identities as M10; fixed test; no scaffold/reference grouping",M_v1_2_54_M00_LC_F25,neg_log10_mol_kg; 18 task heads,M00-Full,Stage1 0; Stage2 0; Stage3 30 from random initialization,none,"42,2042,3407,8417; seed-paired prediction-level ensemble",3042,0.4504826494162696,1.049419165436641,0.7848472600948057,completed,Matched no-aquatic-pretraining control,outputs/experiments/v1_2_54_m10_m00_target_data_learning_curve/summary
M10-LC-F50,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,"task-stratified nested 50% subsample of locked Stage3 train and valid; fixed test; no scaffold/reference grouping",M_v1_2_54_M10_LC_F50,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30; Stage2 0; Stage3 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.5964093218942803,0.8993502298165885,0.6573045662832789,completed,Paired low-data transfer evidence,outputs/experiments/v1_2_54_m10_m00_target_data_learning_curve/summary
M00-LC-F50,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,"same exact 50% Stage3 train/valid identities as M10; fixed test; no scaffold/reference grouping",M_v1_2_54_M00_LC_F50,neg_log10_mol_kg; 18 task heads,M00-Full,Stage1 0; Stage2 0; Stage3 30 from random initialization,none,"42,2042,3407,8417; seed-paired prediction-level ensemble",3042,0.559197013380845,0.9398976220967921,0.6873775355422213,completed,Matched no-aquatic-pretraining control,outputs/experiments/v1_2_54_m10_m00_target_data_learning_curve/summary
M10-LC-F75,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,"task-stratified nested 75% subsample of locked Stage3 train and valid; fixed test; no scaffold/reference grouping",M_v1_2_54_M10_LC_F75,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30; Stage2 0; Stage3 30,none,"42,2042,3407,8417; prediction-level ensemble",3042,0.6598450898010766,0.8256512807218659,0.6033798014043891,completed,Paired low-data transfer evidence,outputs/experiments/v1_2_54_m10_m00_target_data_learning_curve/summary
M00-LC-F75,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,"same exact 75% Stage3 train/valid identities as M10; fixed test; no scaffold/reference grouping",M_v1_2_54_M00_LC_F75,neg_log10_mol_kg; 18 task heads,M00-Full,Stage1 0; Stage2 0; Stage3 30 from random initialization,none,"42,2042,3407,8417; seed-paired prediction-level ensemble",3042,0.6296369145613474,0.8615334288293763,0.6269409075600537,completed,Matched no-aquatic-pretraining control,outputs/experiments/v1_2_54_m10_m00_target_data_learning_curve/summary
M10-LC-F100,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,locked full Stage3 train and valid; fixed test,M_v1_2_44_M10_仅水相预训练_固定评价边界,neg_log10_mol_kg; 18 task heads,M10-Full,Stage1 aquatic 30; Stage2 0; Stage3 30,none,"42,2042,3407,8417; existing prediction-level ensemble",3042,0.7154353368000859,0.7551770291741522,0.5457618347065046,reused complete,100% paired learning-curve anchor,outputs/experiments/第二层核心因果实验矩阵_v1_2_44/统一汇总_中文/03_四种子逐行集成主指标.csv
M00-LC-F100,M10-M00 target-data efficiency,v1.2.44 fixed row-random 8:2 outer boundary,locked full Stage3 train and valid; fixed test,M_v1_2_44_M00_仅Stage3从头训练_固定评价边界,neg_log10_mol_kg; 18 task heads,M00-Full,Stage1 0; Stage2 0; Stage3 30 from random initialization,none,"42,2042,3407,8417; existing seed-paired prediction-level ensemble",3042,0.6801113448632663,0.8006776497567198,0.5792099757203356,reused complete,100% matched no-pretraining anchor,outputs/experiments/第二层核心因果实验矩阵_v1_2_44/统一汇总_中文/03_四种子逐行集成主指标.csv
